序号,代码,院校名称,计划数,院校要求投档比例(%),投档数,最高分,最低分,最低位次
1,4,安徽财经大学,42,100,42,579,525,11803
2,9,安徽大学,28,100,28,546,528,11049
3,16,安徽工业大学,44,105,47,507,479,28374
4,33,安徽理工大学,43,100,43,501,475,30233
5,37,安徽农业大学,8,105,9,480,470,32739
6,105,北方工业大学,63,105,67,528,497,20919
7,117,北京大学,15,110,17,695,669,48
8,119,北京大学医学部,18,100,18,674,645,211
9,120,北京第二外国语学院,34,105,36,587,532,10056
10,128,北京工商大学,37,113,42,533,516,14513
11,130,北京工业大学,48,112,54,565,543,7767
12,131,北京工业大学(中外合作办学),9,100,9,532,510,16477
13,134,北京航空航天大学,58,100,58,638,607,1063
14,138,北京化工大学,67,100,67,576,533,9953
15,141,北京建筑大学,43,100,43,561,506,17513
16,142,北京建筑大学(中外合作办学),2,100,2,539,496,21071
17,143,北京交通大学,80,100,80,587,560,4964
18,144,北京交通大学(民族班),6,100,6,566,553,6036
19,145,北京交通大学(威海校区),6,100,6,513,483,26469
20,154,北京科技大学,68,100,68,585,553,6111
21,160,北京理工大学,68,101,69,604,583,2483
22,163,北京联合大学,25,105,27,516,495,21532
23,164,北京林业大学,46,102,47,597,531,10423
24,165,北京林业大学(定向),2,100,1,488,488,24601
25,166,北京农学院,10,100,10,485,469,33341
26,171,北京师范大学,32,100,32,652,597,1542
27,173,北京师范大学-香港浸会大学联合国际学院,42,100,38,512,456,40688
28,176,北京体育大学,10,100,10,518,500,19561
29,178,北京外国语大学,8,100,8,633,595,1650
30,182,北京物资学院,6,100,6,522,516,14315
31,185,北京信息科技大学,79,100,79,541,495,21526
32,188,北京印刷学院,54,100,54,490,462,36818
33,189,北京邮电大学,45,101,46,605,576,3105
34,190,北京邮电大学(宏福校区),10,105,11,572,536,9237
35,192,北京语言大学,6,100,6,578,535,9369
36,194,北京中医药大学,40,105,42,593,530,10714
37,214,长安大学,107,100,107,567,532,10268
38,228,长春理工大学,39,105,41,501,478,29149
39,237,长江大学,113,110,125,518,457,39757
40,247,长沙理工大学,58,110,64,548,511,15948
41,265,常州大学,148,105,156,514,475,30354
42,283,成都理工大学,117,100,117,535,508,17070
43,289,成都信息工程大学,29,100,29,511,484,26399
44,290,成都信息工程大学(定向),3,100,3,527,513,15440
45,310,重庆大学,126,102,129,621,573,3392
46,322,重庆工商大学,34,100,34,557,529,10788
47,334,重庆交通大学,69,105,73,552,513,15349
48,340,重庆理工大学,46,100,46,544,512,15650
49,351,重庆师范大学,5,105,6,550,533,9955
50,357,重庆医科大学,25,103,26,610,583,2535
51,361,重庆邮电大学,42,105,45,558,527,11422
52,379,大连大学,71,100,71,530,492,22963
