序号,代码,院校名称,专业类别,计划数,院校要求,最高分,最低分,最低位次
1,4,安徽财经大学,普通类,40,100,579,542,18125
2,9,安徽大学,普通类,25,100,590,571,10423
3,16,安徽工业大学,普通类,44,100,539,512,29363
4,33,安徽理工大学,普通类,45,100,539,509,30479
5,37,安徽农业大学,普通类,6,105,532,504,32489
6,105,北方工业大学,普通类,68,110,559,528,22904
7,115,北京大学,普通类,15,100,698,684,47
8,116,北京大学医学部,普通类,18,100,684,670,189
9,117,北京第二外国语学院,普通类,23,100,606,574,9752
10,125,北京工商大学,普通类,35,110,569,553,14889
11,127,北京工业大学,普通类,52,103,602,588,7042
12,127,北京工业大学,中外合作办学,6,100,579,568,11075
13,131,北京航空航天大学,普通类,51,100,667,649,816
14,131,北京航空航天大学,民族班,7,100,650,640,1271
15,134,北京化工大学,普通类,68,101,601,577,9120
16,137,北京建筑大学,普通类,45,100,578,544,17569
17,137,北京建筑大学,中外合作办学,3,100,523,503,33185
18,139,北京交通大学,普通类,79,102,623,606,4328
19,139,北京交通大学,民族班,6,100,607,600,5158
20,141,北京交通大学(威海校区),普通类,18,100,570,526,23704
21,150,北京科技大学,普通类,61,105,628,598,5447
22,156,北京理工大学,普通类,68,100,648,628,2143
23,159,北京联合大学,普通类,25,100,552,535,20467
24,160,北京林业大学,普通类,47,102,626,572,10186
25,160,北京林业大学,定向西藏,2,100,520,520,26041
26,162,北京农学院,普通类,10,100,512,501,34067
27,167,北京师范大学,普通类,31,100,665,636,1498
28,168,北京师范大学-香港浸会大学 联合国际学院,普通类,44,100,575,485,41675
29,171,北京体育大学,普通类,12,100,562,543,17729
30,173,北京外国语大学,普通类,12,100,653,624,2419
31,177,北京物资学院,普通类,5,100,565,550,15900
32,180,北京信息科技大学,普通类,73,100,601,532,21566
33,183,北京印刷学院,普通类,37,100,528,494,37115
34,184,北京邮电大学,普通类,45,105,643,622,2581
35,185,北京邮电大学(宏福校区),普通类,10,105,619,587,7207
36,187,北京语言大学,普通类,8,100,607,584,7883
37,189,北京中医药大学,普通类,40,102,660,583,7966
38,213,长安大学,普通类,106,103,592,572,10347
39,228,长春理工大学,普通类,68,100,551,513,28914
40,237,长江大学,普通类,107,105,533,505,32379
41,248,长沙理工大学,普通类,30,110,571,551,15419
42,266,常州大学,普通类,150,100,531,506,31651
43,284,成都理工大学,普通类,125,103,572,549,15980
44,290,成都信息工程大学,普通类,55,100,563,529,22578
45,290,成都信息工程大学,定向,1,100,576,576,9505
46,297,成都中医药大学,普通类,6,100,577,557,13836
47,311,重庆大学,普通类,100,105,640,615,3287
48,311,重庆大学,民族班,17,100,612,599,5319
49,322,重庆工商大学,普通类,51,100,591,548,16345
50,334,重庆交通大学,普通类,83,100,576,551,15390
51,341,重庆理工大学,普通类,43,102,577,549,15968
52,351,重庆师范大学,普通类,34,105,593,560,13211
53,357,重庆医科大学,普通类,27,103,635,596,5758
54,361,重庆邮电大学,普通类,66,105,586,563,12277
55,378,大连大学,普通类,68,100,568,531,21956
56,384,大连海事大学,普通类,43,101,588,567,11343
57,387,大连交通大学,普通类,69,100,538,515,27800
58,389,大连理工大学,普通类,64,110,632,608,4025
59,390,大连理工大学(盘锦校区),普通类,16,100,588,577,9258
60,392,大连民族大学,普通类,31,105,543,509,30562
61,392,大连民族大学,只招少数民族,64,115,534,500,34606
62,398,大连外国语大学,普通类,51,100,572,543,17705
63,399,大连医科大学,普通类,52,100,626,582,8162
64,418,电子科技大学,普通类,83,100,657,622,2647
65,419,电子科技大学(沙河校区),普通类,4,100,630,620,2753
66,423,东北财经大学,普通类,28,100,622,575,9689
67,424,东北大学,普通类,77,105,611,596,5817
68,425,东北大学秦皇岛分校,普通类,37,100,584,568,11202
69,426,东北电力大学,普通类,45,105,597,518,26835
70,427,东北林业大学,普通类,49,100,552,526,23599
71,427,东北林业大学,定向西藏,6,100,488,484,42279
72,429,东北农业大学,普通类,163,100,538,495,36820
