信息,位置,报告,受影响用户数量,详细错误信息
Broadcast of Intent { act=android.intent.action.SCREEN_OFF                            flg=0x50000010 },（没有位置信息）,128,102,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/b0e07d72&detailsAppVersion=PRODUCTION&detailsSpan=7
Broadcast of Intent { act=android.intent.action.SCREEN_OFF                        flg=0x50000010 (has extras) },（没有位置信息）,77,38,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/7912f294&detailsAppVersion=PRODUCTION&detailsSpan=7
Broadcast of Intent { act=android.intent.action.SCREEN_OFF                        flg=0x50000010 (has extras) },（没有位置信息）,27,26,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/0b7a97f5&detailsAppVersion=PRODUCTION&detailsSpan=7
Broadcast of Intent { act=android.intent.action.SCREEN_OFF                        flg=0x50000010 (has extras) },（没有位置信息）,24,22,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/5a986e73&detailsAppVersion=PRODUCTION&detailsSpan=7
executing service                        com.mobile.security.antivirus.applock.wifi/com.ihs.device.permanent.PermanentService,位置：com.ihs.device.permanent.PermanentService,21,17,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/a634880e&detailsAppVersion=PRODUCTION&detailsSpan=7
Broadcast of Intent { act=android.intent.action.SCREEN_ON                        flg=0x50000010 },（没有位置信息）,21,19,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/aea1bf91&detailsAppVersion=PRODUCTION&detailsSpan=7
Broadcast of Intent { act=android.intent.action.SCREEN_ON                        flg=0x50200010 (has extras) },（没有位置信息）,19,12,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/866ebee5&detailsAppVersion=PRODUCTION&detailsSpan=7
Executing service                        com.mobile.security.antivirus.applock.wifi/com.ihs.device.permanent.PermanentService,位置：com.ihs.device.permanent.PermanentService,18,17,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/0f1580b1&detailsAppVersion=PRODUCTION&detailsSpan=7
executing service                        com.mobile.security.antivirus.applock.wifi/com.ihs.device.accessibility.service.HSAccPartnerService,位置：com.ihs.device.accessibility.service.HSAccPartnerService,16,16,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/5b75df20&detailsAppVersion=PRODUCTION&detailsSpan=7
Broadcast of Intent { act=android.intent.action.SCREEN_ON                        flg=0x50000010 },（没有位置信息）,14,14,https://play.google.com/apps/publish/?account=8505122062204140606#AndroidMetricsErrorsPlace:p=com.mobile.security.antivirus.applock.wifi&appid=4972898036482753524&appVersion=PRODUCTION&errorType=ANR&clusterName=apps/com.mobile.security.antivirus.applock.wifi/clusters/d4120bd6&detailsAppVersion=PRODUCTION&detailsSpan=7
